,labels,1,2,3
0,3,0,0,1
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,1,1,0,0
5,1,1,0,0
6,3,0,0,1
7,3,0,0,1
8,0,0,0,0
9,3,0,0,1
10,1,1,0,0
11,0,0,0,0
12,0,0,0,0
13,1,1,0,0
14,0,0,0,0
15,0,0,0,0
16,1,1,0,0
17,0,0,0,0
18,3,0,0,1
19,3,0,0,1
20,0,0,0,0
21,2,0,1,0
22,3,0,0,1
23,3,0,0,1
24,3,0,0,1
25,3,0,0,1
26,0,0,0,0
27,2,0,1,0
28,0,0,0,0
29,1,1,0,0
30,1,1,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,3,0,0,1
35,0,0,0,0
36,1,1,0,0
37,0,0,0,0
38,3,0,0,1
39,0,0,0,0
40,1,1,0,0
41,0,0,0,0
42,1,1,0,0
43,0,0,0,0
44,3,0,0,1
45,1,1,0,0
46,3,0,0,1
47,1,1,0,0
48,0,0,0,0
49,0,0,0,0
50,3,0,0,1
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,3,0,0,1
57,3,0,0,1
58,1,1,0,0
59,0,0,0,0
60,0,0,0,0
61,3,0,0,1
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,2,0,1,0
67,3,0,0,1
68,3,0,0,1
69,2,0,1,0
70,1,1,0,0
71,0,0,0,0
72,0,0,0,0
73,3,0,0,1
74,3,0,0,1
75,1,1,0,0
76,1,1,0,0
77,0,0,0,0
78,0,0,0,0
79,3,0,0,1
80,3,0,0,1
81,3,0,0,1
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,3,0,0,1
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,3,0,0,1
91,0,0,0,0
92,3,0,0,1
93,0,0,0,0
94,0,0,0,0
95,2,0,1,0
96,3,0,0,1
97,3,0,0,1
98,3,0,0,1
99,1,1,0,0
100,0,0,0,0
101,0,0,0,0
102,1,1,0,0
103,2,0,1,0
104,3,0,0,1
105,3,0,0,1
106,0,0,0,0
107,3,0,0,1
108,1,1,0,0
109,1,1,0,0
110,1,1,0,0
111,0,0,0,0
112,3,0,0,1
113,0,0,0,0
114,3,0,0,1
115,0,0,0,0
116,0,0,0,0
117,3,0,0,1
118,3,0,0,1
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,1,1,0,0
125,2,0,1,0
126,3,0,0,1
127,3,0,0,1
128,0,0,0,0
129,1,1,0,0
130,3,0,0,1
131,1,1,0,0
132,1,1,0,0
133,1,1,0,0
134,0,0,0,0
135,3,0,0,1
136,3,0,0,1
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,1,1,0,0
142,3,0,0,1
143,0,0,0,0
144,1,1,0,0
145,1,1,0,0
146,0,0,0,0
147,1,1,0,0
148,3,0,0,1
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,3,0,0,1
153,1,1,0,0
154,0,0,0,0
155,3,0,0,1
156,0,0,0,0
157,3,0,0,1
158,3,0,0,1
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,1,1,0,0
163,0,0,0,0
164,1,1,0,0
165,0,0,0,0
166,3,0,0,1
167,1,1,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,3,0,0,1
172,0,0,0,0
173,1,1,0,0
174,1,1,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,3,0,0,1
179,0,0,0,0
180,3,0,0,1
181,0,0,0,0
182,0,0,0,0
183,3,0,0,1
184,1,1,0,0
185,1,1,0,0
186,3,0,0,1
187,1,1,0,0
188,0,0,0,0
189,1,1,0,0
190,0,0,0,0
191,3,0,0,1
192,2,0,1,0
193,0,0,0,0
194,0,0,0,0
195,3,0,0,1
196,0,0,0,0
197,0,0,0,0
198,1,1,0,0
199,3,0,0,1
200,0,0,0,0
201,3,0,0,1
202,0,0,0,0
203,3,0,0,1
204,0,0,0,0
205,2,0,1,0
206,1,1,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,3,0,0,1
211,0,0,0,0
212,1,1,0,0
213,3,0,0,1
214,0,0,0,0
215,3,0,0,1
216,2,0,1,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,1,1,0,0
221,3,0,0,1
222,0,0,0,0
223,3,0,0,1
224,3,0,0,1
225,0,0,0,0
226,1,1,0,0
227,3,0,0,1
228,3,0,0,1
229,1,1,0,0
230,0,0,0,0
231,0,0,0,0
232,3,0,0,1
233,1,1,0,0
234,0,0,0,0
235,1,1,0,0
236,3,0,0,1
237,0,0,0,0
238,1,1,0,0
239,3,0,0,1
240,3,0,0,1
241,0,0,0,0
242,0,0,0,0
243,3,0,0,1
244,0,0,0,0
245,3,0,0,1
246,1,1,0,0
247,0,0,0,0
248,3,0,0,1
249,0,0,0,0
250,3,0,0,1
251,3,0,0,1
252,1,1,0,0
253,0,0,0,0
254,3,0,0,1
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,1,1,0,0
259,1,1,0,0
260,2,0,1,0
261,3,0,0,1
262,1,1,0,0
263,0,0,0,0
264,0,0,0,0
265,3,0,0,1
266,0,0,0,0
267,0,0,0,0
268,3,0,0,1
269,2,0,1,0
270,1,1,0,0
271,0,0,0,0
272,3,0,0,1
273,3,0,0,1
274,0,0,0,0
275,3,0,0,1
276,3,0,0,1
277,0,0,0,0
278,3,0,0,1
279,0,0,0,0
280,3,0,0,1
281,3,0,0,1
282,0,0,0,0
283,1,1,0,0
284,0,0,0,0
285,3,0,0,1
286,0,0,0,0
287,0,0,0,0
288,1,1,0,0
289,1,1,0,0
290,0,0,0,0
291,0,0,0,0
292,3,0,0,1
293,0,0,0,0
294,0,0,0,0
295,1,1,0,0
296,3,0,0,1
297,0,0,0,0
298,0,0,0,0
299,3,0,0,1
300,1,1,0,0
301,3,0,0,1
302,0,0,0,0
303,3,0,0,1
304,0,0,0,0
305,2,0,1,0
306,0,0,0,0
307,1,1,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,1,1,0,0
312,0,0,0,0
313,1,1,0,0
314,1,1,0,0
315,3,0,0,1
316,0,0,0,0
317,3,0,0,1
318,0,0,0,0
319,0,0,0,0
320,1,1,0,0
321,1,1,0,0
322,3,0,0,1
323,3,0,0,1
324,0,0,0,0
325,0,0,0,0
326,1,1,0,0
327,0,0,0,0
328,0,0,0,0
329,1,1,0,0
330,0,0,0,0
331,3,0,0,1
332,3,0,0,1
333,0,0,0,0
334,2,0,1,0
335,3,0,0,1
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,3,0,0,1
340,1,1,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,1,1,0,0
345,3,0,0,1
346,3,0,0,1
347,0,0,0,0
348,3,0,0,1
349,0,0,0,0
350,1,1,0,0
351,2,0,1,0
352,0,0,0,0
353,0,0,0,0
354,3,0,0,1
355,0,0,0,0
356,3,0,0,1
357,1,1,0,0
358,1,1,0,0
359,0,0,0,0
360,1,1,0,0
361,0,0,0,0
362,3,0,0,1
363,1,1,0,0
364,1,1,0,0
365,1,1,0,0
366,0,0,0,0
367,1,1,0,0
368,1,1,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,3,0,0,1
374,0,0,0,0
375,1,1,0,0
376,0,0,0,0
377,3,0,0,1
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,1,1,0,0
382,1,1,0,0
383,1,1,0,0
384,1,1,0,0
385,2,0,1,0
386,0,0,0,0
387,3,0,0,1
388,0,0,0,0
389,0,0,0,0
390,0,0,0,0
391,1,1,0,0
392,1,1,0,0
393,2,0,1,0
394,2,0,1,0
395,0,0,0,0
396,1,1,0,0
397,1,1,0,0
398,0,0,0,0
399,3,0,0,1
400,0,0,0,0
401,3,0,0,1
402,0,0,0,0
403,1,1,0,0
404,3,0,0,1
405,0,0,0,0
406,0,0,0,0
407,3,0,0,1
408,3,0,0,1
409,3,0,0,1
410,3,0,0,1
411,0,0,0,0
412,1,1,0,0
413,0,0,0,0
414,3,0,0,1
415,1,1,0,0
416,1,1,0,0
417,0,0,0,0
418,1,1,0,0
419,1,1,0,0
420,0,0,0,0
421,1,1,0,0
422,0,0,0,0
423,3,0,0,1
424,0,0,0,0
425,3,0,0,1
426,0,0,0,0
427,2,0,1,0
428,0,0,0,0
429,3,0,0,1
430,3,0,0,1
431,1,1,0,0
432,0,0,0,0
433,3,0,0,1
434,0,0,0,0
435,1,1,0,0
436,1,1,0,0
437,1,1,0,0
438,0,0,0,0
439,0,0,0,0
440,3,0,0,1
441,3,0,0,1
442,0,0,0,0
443,3,0,0,1
444,3,0,0,1
445,0,0,0,0
446,1,1,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,3,0,0,1
453,1,1,0,0
454,2,0,1,0
455,0,0,0,0
456,0,0,0,0
457,0,0,0,0
458,3,0,0,1
459,3,0,0,1
460,1,1,0,0
461,3,0,0,1
462,3,0,0,1
463,3,0,0,1
464,0,0,0,0
465,1,1,0,0
466,0,0,0,0
467,3,0,0,1
468,3,0,0,1
469,3,0,0,1
470,3,0,0,1
471,1,1,0,0
472,0,0,0,0
473,1,1,0,0
474,1,1,0,0
475,1,1,0,0
476,0,0,0,0
477,0,0,0,0
478,0,0,0,0
479,1,1,0,0
480,1,1,0,0
481,3,0,0,1
482,1,1,0,0
483,0,0,0,0
484,1,1,0,0
485,3,0,0,1
486,1,1,0,0
487,0,0,0,0
488,1,1,0,0
489,1,1,0,0
490,1,1,0,0
491,3,0,0,1
492,3,0,0,1
493,0,0,0,0
494,0,0,0,0
495,2,0,1,0
