,X,pop,old_proportion,poverty_rate,white,black,hispanic,asian,house_owner_rate,internet,gsp,household_with_baby,unemployment,tax,democratic_party
1,Alabama,19118944,0.13762099,0.15,0.66,0.27,0.04,0.01,68.05,78.1,36856,0.31,0.039,2143,35
2,Alaska,2840924,0.0773522981,0.08,0.61,0.03,0.07,0.07,63.55,86.1,67705,0.35,0.072,1605,31
3,Arizona,25568068,0.137958175,0.12,0.55,0.04,0.31,0.03,64.72,85.7,38414,0.33,0.047,2010,40
4,Arkansas,11663672,0.144030456,0.14,0.73,0.15,0.08,0.02,65.25,73,36196,0.35,0.037,3185,36
5,California,149015824,0.11398827,0.1,0.37,0.05,0.39,0.14,54.79,87.7,57328,0.33,0.045,3960,51
6,Colorado,20116784,0.109286852,0.08,0.68,0.04,0.22,0.03,65.2,88.2,52622,0.33,0.03,2387,46
7,Connecticut,14296388,0.141730625,0.08,0.67,0.1,0.16,0.05,66.2,85.5,63747,0.33,0.045,4556,51
8,Delaware,3591736,0.143971606,0.11,0.63,0.21,0.09,0.04,70.95,86.2,64040,0.3,0.045,3767,45
9,Florida,75205240,0.173371004,0.11,0.54,0.15,0.26,0.03,65.15,83.2,39093,0.3,0.039,1947,42
10,Georgia,38750612,0.106530963,0.13,0.53,0.31,0.1,0.04,62.88,82.7,43913,0.34,0.045,2174,42
11,Hawaii,5441204,0.143452074,0.09,0.21,0.01,0.1,0.38,58.52,84.5,50320,0.31,0.022,4920,50
12,Idaho,6270328,0.124183615,0.11,0.82,0.01,0.12,0.01,69.66,82.5,35467,0.38,0.03,2685,31
13,Illinois,51322528,0.125419621,0.11,0.61,0.14,0.17,0.05,66.18,83.6,53432,0.34,0.05,2959,50
14,Indiana,25935208,0.129724504,0.11,0.79,0.09,0.07,0.02,69.04,81.2,44797,0.35,0.035,2721,41
15,Iowa,12185420,0.148665536,0.08,0.86,0.03,0.06,0.03,71.6,81.8,50086,0.37,0.03,3116,42
16,Kansas,11412472,0.131826304,0.1,0.76,0.05,0.12,0.03,65.86,83,46890,0.37,0.036,2811,34
17,Kentucky,17357468,0.133251463,0.15,0.85,0.08,0.03,0.01,66.47,78.9,38603,0.35,0.047,2684,41
18,Louisiana,18133488,0.123055642,0.17,0.59,0.32,0.05,0.02,65.18,75.6,44293,0.33,0.048,2370,40
19,Maine,5313444,0.158902587,0.09,0.94,0.01,0.02,0.01,73.17,82,38450,0.31,0.033,3182,47
